gender,body_type,occasion,weather,style,top_color,bottom_color
female,hourglass,party,summer,street,black,beige
female,hourglass,party,summer,street,black,white
female,hourglass,formal,winter,minimal,navy,black
female,rectangle,casual,summer,minimal,white,blue
female,rectangle,casual,winter,street,grey,black
female,triangle,party,summer,traditional,red,gold
female,triangle,casual,summer,street,black,blue
female,inverted_triangle,casual,summer,street,white,black
female,inverted_triangle,formal,winter,minimal,black,grey
female,oval,casual,winter,minimal,navy,black
male,ectomorph,casual,summer,street,white,blue
male,ectomorph,party,summer,street,black,black
male,ectomorph,formal,winter,minimal,grey,black
male,mesomorph,party,summer,street,black,black
male,mesomorph,casual,summer,street,blue,white
male,mesomorph,formal,winter,minimal,navy,grey
male,endomorph,casual,winter,minimal,darkgreen,black
male,endomorph,party,winter,street,black,black
male,endomorph,formal,winter,minimal,navy,black
male,endomorph,casual,summer,street,white,black
